sku,nombre,familia,sabor,linea,peso_base_g,figurita_requerida,figura_item,peso_figura_g,ruta,momento_descuento,conservacion,modo_stock,estado,activo_lanzamiento,nota
MCK-MBI-270,Momo Cake Mango biche,Momo Cake,Mango biche,Frutal,270,SI,FIG-HOR-MBI,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-COC-270,Momo Cake Coco,Momo Cake,Coco,Frutal,270,SI,FIG-HOR-COC,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-MAR-270,Momo Cake Maracuyá,Momo Cake,Maracuyá,Frutal,270,SI,FIG-HOR-MAR,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-LIM-270,Momo Cake Limón,Momo Cake,Limón,Frutal,270,SI,FIG-HOR-LIM,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-BAN-270,Momo Cake Banano,Momo Cake,Banano,Frutal,270,SI,FIG-HOR-BAN,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-DUR-270,Momo Cake Durazno,Momo Cake,Durazno,Frutal,270,SI,FIG-HOR-DUR,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-MNM-270,Momo Cake M&M,Momo Cake,M&M,Cremosa,270,SI,FIG-HOR-MNM,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-ORE-270,Momo Cake Oreo,Momo Cake,Oreo,Cremosa,270,SI,FIG-HOR-ORE,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-CSL-270,Momo Cake Caramelo salado,Momo Cake,Caramelo salado,Cremosa,270,SI,FIG-HOR-CSL,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-NUT-270,Momo Cake Nutella,Momo Cake,Nutella,Cremosa,270,SI,FIG-HOR-NUT,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
MCK-MIL-270,Momo Cake Milo,Momo Cake,Milo,Cremosa,270,SI,FIG-HOR-MIL,,R-MCK-CONG,AL_ENSAMBLAR,CONGELADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-MBI-270,Cheesecake Mango biche,Cheesecake,Mango biche,Frutal,270,SI,FIG-HOR-MBI,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-COC-270,Cheesecake Coco,Cheesecake,Coco,Frutal,270,SI,FIG-HOR-COC,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-MAR-270,Cheesecake Maracuyá,Cheesecake,Maracuyá,Frutal,270,SI,FIG-HOR-MAR,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-LIM-270,Cheesecake Limón,Cheesecake,Limón,Frutal,270,SI,FIG-HOR-LIM,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-BAN-270,Cheesecake Banano,Cheesecake,Banano,Frutal,270,SI,FIG-HOR-BAN,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-DUR-270,Cheesecake Durazno,Cheesecake,Durazno,Frutal,270,SI,FIG-HOR-DUR,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-MNM-270,Cheesecake M&M,Cheesecake,M&M,Cremosa,270,SI,FIG-HOR-MNM,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-ORE-270,Cheesecake Oreo,Cheesecake,Oreo,Cremosa,270,SI,FIG-HOR-ORE,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
CHK-CSL-270,Cheesecake Caramelo salado,Cheesecake,Caramelo salado,Cremosa,270,SI,FIG-HOR-CSL,,R-CHK-REF,AL_ENSAMBLAR,REFRIGERADO,PRODUCIR_PARA_STOCK,BORRADOR_TECNICO_V1,NO_HASTA_VALIDAR,"BOM fija por sabor. Validar prueba piloto, rendimiento, textura y empaque antes de aprobar."
